"Edição 676","Melhores projetos da Unicamp são premiados","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/melhores-projetos-da-unicamp-sao-premiados",""
"Edição 676","Jogadores de futebol não buscam direitos, expõe tese","Estudo de educadora física mostra que é quase inexistente o envolvimento da categoria em ações sindicais","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/jogadores-de-futebol-nao-buscam-direitos-expoe-tese",""
"Edição 676","Da solidariedade às insurreições","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/da-solidariedade-insurreicoes",""
"Edição 675","Telescópio","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/telescopio",""
"Edição 675","Quando a obesidade dá os primeiros sinais","Estudo com conclusões inéditas associa disfunções no hipotálamo a comprometimento do controle da saciedade em crianças","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/quando-obesidade-da-os-primeiros-sinais",""
"Edição 675","Livro revela intervenções dos EUA no governo JK","Dissertação que deu origem à obra foi elaborada a partir de documentação oficial da Embaixada dos EUA no Brasil","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/livro-revela-intervencoes-dos-eua-no-governo-jk",""
"Edição 675","Esforço antifalsificação","Unicamp integra consórcio internacional que busca soluções computacionais para combater fraudes em fotos e vídeos","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/esforco-antifalsificacao",""
"Edição 675","País recebe 30 mil novos imigrantes italianos entre 2000 e 2015","Dados são de projeto que quantifica e traça o perfil sociodemográfico de residentes no Brasil há menos de 10 anos","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/pais-recebe-30-mil-novos-imigrantes-italianos-entre-2000-e-2015",""
"Edição 675","Livro orienta sobre espécies de eucalipto","Publicação pode servir de guia para produtores e pesquisadores","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/livro-orienta-sobre-especies-de-eucalipto",""
"Edição 675","Jabuti contempla 5 docentes da Universidade","Editora da Unicamp levou dois prêmios, com obras de professores do IFCH","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/jabuti-contempla-5-docentes-da-universidade",""
"Edição 675","O potencial do sorgo na prevenção de doenças crônicas","Experimentos atestam que cereal pode ser eficaz na prevenção do diabetes, da obesidade e do câncer","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/o-potencial-do-sorgo-na-prevencao-de-doencas-cronicas",""
"Edição 675","Documentário resultante de tese da Unicamp disputa indicação ao Oscar","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/documentario-resultante-de-tese-da-unicamp-disputa-indicacao-ao-oscar",""
"Edição 675","Estudo investiga presença de elementos tóxicos em alfaces","Química analisa também bioacessibilidade e biodisponibilidade","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/estudo-investiga-presenca-de-elementos-toxicos-em-alfaces",""
"Edição 675","Múltiplas leituras","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/675/multiplas-leituras",""
"Edição 674","Telescópio","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/telescopio",""
"Edição 674","Lixo do bem","Estudo aponta que regulação da gestão de resíduos eletroeletrônicos contribui para promover a inovação e a competitividade de empresas","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/lixo-do-bem",""
"Edição 674","Tese analisa impactos de chuvas extremas na RMC","Pesquisadora reuniu dados do período compreendido entre 1970 e 2009","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/tese-analisa-impactos-de-chuvas-extremas-na-rmc",""
"Edição 674","Da floresta para o prato","Pesquisador desenvolve processo de industrialização do tucumã-do-Amazonas para utilização culinária","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/da-floresta-para-o-prato",""
"Edição 674","Riscos e precarização rondam","Autora de dissertação do Instituto de Economia aponta também trabalho análogo ao escravo","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/riscos-e-precarizacao-rondam-trabalhador-da-construcao-civil",""
"Edição 674","Técnica inovadora personaliza","A partir do cultivo de células epiteliais, pesquisadores da Unicamp testam drogas específicas","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/tecnica-inovadora-personaliza-tratamento-de-fibrose-cistica",""
"Edição 674","Quando quem conspira é ‘gente de cor’","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/quando-quem-conspira-e-gente-de-cor",""
"Edição 674","Emoções medem qualidade do café","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/emocoes-medem-qualidade-do-cafe",""
"Edição 674","Mazelas ocultas","Estudo demonstra como dados sobre a Região Metropolitana de Campinas são maquiados","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/mazelas-ocultas",""
"Edição 674","Docentes da Unicamp recebem Prêmio Nanocell","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/docentes-da-unicamp-recebem-premio-nanocell",""
"Edição 674","O novo Mineirão, do feijão tropeiro à lógica do mercado","Pesquisadora analisa mudanças na configuração urbana de BH depois de reforma do estádio","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/o-novo-mineirao-do-feijao-tropeiro-logica-do-mercado",""
"Edição 674","Renovação abortada","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/674/renovacao-abortada",""
"Edição 673","Telescópio","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/673/telescopio",""
"Edição 673","Cola do bicho-da-seda é usada na remoção de metais tóxicos da água","Proteína derivada do casulo pode ser utilizada em processos de descontaminação","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/673/cola-do-bicho-da-seda-e-usada-na-remocao-de-metais-toxicos-da-agua",""
