"Edição 78","Lei Anticorrupção e Projetos Educacionais","Unesp Ciência","http://www.unespciencia.com.br/2016/09/opiniao-78/","Opinião"
"Edição 77","Poderes e responsabilidades","Unesp Ciência","http://www.unespciencia.com.br/2016/08/editorial-11/","Editorial"
"Edição 77","Batman x Superman","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-materia-capa/","Cultura de massa"
"Edição 77","Processo fundamental para consolidação","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-inter/","Internacionalização"
"Edição 77","Personagens reais com capacidade acima da média","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-cinema/","Cinema"
"Edição 77","Raduan Nassar vence o Camões 2016","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-literatura/","Literatura"
"Edição 77","Estados contra trabalhadores","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-politica/","Política"
"Edição 77","A Itália atual pode servir de modelo para o Brasil?","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-sociedade/","Sociedade"
"Edição 77","Celso Amorim revela a política brasileira de Defesa Nacional","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-leitura/","Leitura"
"Edição 77","Vacinação: sucessos e desafios","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-saude/","Saúde coletiva"
"Edição 77","A importância dos artefatos digitais","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-democracia/","Democracia"
"Edição 77","A histórica cidade de Palmyra","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-terrorismo/","Terrorismo"
"Edição 77","Um profissional que sabe onde pisa","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-geologia/","Geologia"
"Edição 77","CD Miniaturas de Oswald","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-arte-cultura/","Arte e cultura"
"Edição 77","Luz e trevas, em ópera clássica de Mozart","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-foto-mes/","Foto do mês"
"Edição 77","Por que realizar o manejo de irrigação?","Unesp Ciência","http://www.unespciencia.com.br/2016/08/77-opiniao/","Opinião"
"Edição 76","O impossível não existe","Unesp Ciência","http://www.unespciencia.com.br/2016/07/editorial-10/","Editorial"
"Edição 76","Tradição e vanguarda no ensino de ecologia para graduandos","Unesp Ciência","http://www.unespciencia.com.br/2016/07/ecologia-7/","40 anos do curso de Ecologia de Rio Claro"
"Edição 76","Mas o que é terrorismo, afinal?","Unesp Ciência","http://www.unespciencia.com.br/2016/07/terrorismo/","Terrorismo"
"Edição 76","O retrocesso da lei ambiental","Unesp Ciência","http://www.unespciencia.com.br/2016/07/codigo-florestal/","Código Florestal"
"Edição 76","O “patinho feio” das fontes geradoras","Unesp Ciência","http://www.unespciencia.com.br/2016/07/energia/","Energia"
"Edição 76","Obrigado, Muhammad Ali-Haj","Unesp Ciência","http://www.unespciencia.com.br/2016/07/muhammad/","Memória"
"Edição 76","Por que celebrar o Dia Internacional dos Arquivos?","Unesp Ciência","http://www.unespciencia.com.br/2016/07/arquivologia/","Arquivologia"
"Edição 76","Uma via irônica para a poesia moderna","Unesp Ciência","http://www.unespciencia.com.br/2016/07/poesia/","Poesia"
"Edição 76","Italianidade no interior paulista","Unesp Ciência","http://www.unespciencia.com.br/2016/07/leitura-4/","Leitura"
"Edição 76","O gênio inquieto de Leonardo da Vinci","Unesp Ciência","http://www.unespciencia.com.br/2016/07/educacao-76/","Educação"
"Edição 76","O pícaro Miguel de Cervantes","Unesp Ciência","http://www.unespciencia.com.br/2016/07/homenagem-76/","Homenagem"
"Edição 76","Objeto cerâmico como elemento da cultura","Unesp Ciência","http://www.unespciencia.com.br/2016/07/arte-cultura-76/","Arte e cultura"
"Edição 76","Dia da Europa","Unesp Ciência","http://www.unespciencia.com.br/2016/07/europa-76/","Política Internacional"
"Edição 76","Academia Brasileira de Ciências completa 100 anos","Unesp Ciência","http://www.unespciencia.com.br/2016/07/solenidade-76/","Solenidade"
"Edição 76","Homenagem a Érik Satie","Unesp Ciência","http://www.unespciencia.com.br/2016/07/foto-mes-76/","Foto do mês"
"Edição 76","Língua, ideologia e empoderamento","Unesp Ciência","http://www.unespciencia.com.br/2016/07/opiniao-76/","Opinião"
"Edição 75","Quanto alimento!","Unesp Ciência","http://www.unespciencia.com.br/2016/06/editorial-9/","Editorial"
"Edição 75","A extensão universitária no processo de formação do Ecólogo","Unesp Ciência","http://www.unespciencia.com.br/2016/06/ecologia-6/","40 anos do curso de Ecologia de Rio Claro"
"Edição 75","Combate ao bullying","Unesp Ciência","http://www.unespciencia.com.br/2016/06/bullying/","Comportamento"
"Edição 75","Aspectos gerais da cultura do feijão","Unesp Ciência","http://www.unespciencia.com.br/2016/06/feijao/","Agronomia"
"Edição 75","As práticas musicais nos tempos de padre Cícero","Unesp Ciência","http://www.unespciencia.com.br/2016/06/musicologia/","Musicologia"
"Edição 75","Legislativo e Política Externa Brasileira","Unesp Ciência","http://www.unespciencia.com.br/2016/06/politica-externa/","Relações Internacionais"
"Edição 75","A puericultura da criança portadora de síndrome de Down","Unesp Ciência","http://www.unespciencia.com.br/2016/06/pediatria/","Pediatria"
"Edição 75","Novo filme de Pedro Almodóvar","Unesp Ciência","http://www.unespciencia.com.br/2016/06/filmes/","Cinema"
"Edição 75","O reconhecimento de nossa história","Unesp Ciência","http://www.unespciencia.com.br/2016/06/afro-75/","Dossiê Afrodescendentes"
"Edição 75","Produções acadêmicas sobre crianças negras","Unesp Ciência","http://www.unespciencia.com.br/2016/06/afro-75/","Dossiê Afrodescendentes"
"Edição 75","A importância de ser feliz","Unesp Ciência","http://www.unespciencia.com.br/2016/06/ser-feliz-75/","Convivência"
"Edição 75","Indispensavelmente feliz","Unesp Ciência","http://www.unespciencia.com.br/2016/06/ser-feliz-75/","Convivência"
"Edição 75","Historiador explora as raízes do capitalismo","Unesp Ciência","http://www.unespciencia.com.br/2016/06/leitura-3/","Leitura"
"Edição 75","Instalações pianísticas","Unesp Ciência","http://www.unespciencia.com.br/2016/06/arte-cultura-75/","Arte e cultura"
"Edição 75","Ensino de física","Unesp Ciência","http://www.unespciencia.com.br/2016/06/foto-mes-75/","Foto do mês"
"Edição 75","Uma urgência de saúde pública","Unesp Ciência","http://www.unespciencia.com.br/2016/06/hipertensao-75/","Hipertensão"
"Edição 75","Um turismo melhor","Unesp Ciência","http://www.unespciencia.com.br/2016/06/opiniao-75/","Opinião"
"Edição 74","Para aliviar a canseira da existência humana","Unesp Ciência","http://www.unespciencia.com.br/2016/05/editorial-8/","Editorial"
"Edição 74","Muito além dos pardais","Unesp Ciência","http://www.unespciencia.com.br/2016/05/ecologia-5/","40 anos do curso de Ecologia de Rio Claro"
"Edição 74","O maestro e autor Umberto Eco","Unesp Ciência","http://www.unespciencia.com.br/2016/05/homenagem-2/","Homenagem"
"Edição 74","Umberto Eco e o valor da verdadeira erudição","Unesp Ciência","http://www.unespciencia.com.br/2016/05/homenagem-2/","Homenagem"
"Edição 74","Saúde e Sociedade","Unesp Ciência","http://www.unespciencia.com.br/2016/05/saude/","Saúde"
"Edição 74","Reforma previdenciária","Unesp Ciência","http://www.unespciencia.com.br/2016/05/reforma-previdenciaria/","Administração pública"
"Edição 74","Visões sobre as mulheres","Unesp Ciência","http://www.unespciencia.com.br/2016/05/mulheres/","Administração pública"
"Edição 74","O feminismo e a obra de Simone de Beauvoir","Unesp Ciência","http://www.unespciencia.com.br/2016/05/mulheres/","Administração pública"
"Edição 74","O perdão da pena para as mulheres esquecidas","Unesp Ciência","http://www.unespciencia.com.br/2016/05/mulheres/","Administração pública"
"Edição 74","Saga das mulheres","Unesp Ciência","http://www.unespciencia.com.br/2016/05/mulheres/","Administração pública"
"Edição 74","Um poema para as mulheres do Brasil","Unesp Ciência","http://www.unespciencia.com.br/2016/05/mulheres/","Administração pública"
"Edição 74","Críticas cinematográficas de Guilherme de Almeida","Unesp Ciência","http://www.unespciencia.com.br/2016/05/leitura-2/","Leitura"
"Edição 74","Filmes que concorreram ao Oscar são analisados","Unesp Ciência","http://www.unespciencia.com.br/2016/05/filmes-oscar/","Cinema"
"Edição 74","Gênese do 1.º de maio – José Luiz Del Roio","Unesp Ciência","http://www.unespciencia.com.br/2016/05/dia-do-trabalho/","Dia do Trabalho"
"Edição 74","Os caminhos que tomamos","Unesp Ciência","http://www.unespciencia.com.br/2016/05/ficcao/","Ficção"
"Edição 74","Artemídia Influente","Unesp Ciência","http://www.unespciencia.com.br/2016/05/arte-cultura-2/","Arte e cultura"
"Edição 74","Nova diretoria na Associação Brasileira de Editores Científicos","Unesp Ciência","http://www.unespciencia.com.br/2016/05/foto-mes-3/","Foto do mês"
"Edição 74","Facetas do Livro Didático","Unesp Ciência","http://www.unespciencia.com.br/2016/05/opiniao-3/","Opinião"
"Edição 73","A importância da ciência","Unesp Ciência","http://www.unespciencia.com.br/2016/04/editorial-7/","Editorial"
"Edição 73","Estudos Ecológicos na Bacia Hidrográfica do Rio Itanhaém","Unesp Ciência","http://www.unespciencia.com.br/2016/04/ecologia-4/","40 anos do curso de Ecologia de Rio Claro"
"Edição 73","Livro São Paulo em 200 imagens","Unesp Ciência","http://www.unespciencia.com.br/2016/04/historia/","História"
"Edição 73","Dados inéditos da geologia do petróleo no país  –  Oscar D’Ambrosio","Unesp Ciência","http://www.unespciencia.com.br/2016/04/geologia/","Geologia"
