"2017-01-19","Ciências Biológicas","Peixe-zebra é testado como modelo para experimentos com anestésico","Espécie <em>Danio rerio</em> possui similaridades genéticas com humanos e fornece respostas robustas","cetaminaDanio rerioDrogasFFLCRPZebrafish","http://jornal.usp.br/ciencias/ciencias-biologicas/peixe-zebra-e-testado-como-modelo-para-experimentos-com-anestesico/"
"2017-01-18","Ciências","Visão sobre depressão sofreu transformações ao longo da história","Livro “A história da melancolia” mostra como o modo de encarar a depressão e a loucura se transformou no Ocidente","A história da melancoliadepressãoFaculdade de Medicina da USPFMUSPloucuraMatheus Schumaker EmiliomelancoliaTáki Athanássios Cordás","http://jornal.usp.br/ciencias/visao-sobre-depressao-sofreu-transformacoes-ao-longo-da-historia/"
"2017-01-18","Ciências da Saúde","“Revista de Medicina” tem nova edição disponível","Publicação trismestral traz artigos e relatos de casos de interesse de profissionais e estudantes da área médica","Faculdade de MedicinaFMUSPMedicinaPeriódicoRevista de MedicinaSaúde","http://jornal.usp.br/ciencias/ciencias-da-saude/revista-de-medicina-tem-nova-edicao-disponivel/"
"2017-01-18","Ciências da Saúde","Evento on-line tem palestras gratuitas sobre sexualidade na saúde","Congresso trata da atuação do profissional de saúde nas questões de sexualidade","Congresso Online de Sexualidadeon lineSaúdeSexualidade","http://jornal.usp.br/ciencias/ciencias-da-saude/evento-on-line-tem-palestras-gratuitas-sobre-sexualidade-na-saude/"
"2017-01-18","Ciências Agrárias","Processamento mínimo de hortaliças é tema de publicação da Esalq","Cartilha traz informações sobre cuidados para evitar a deterioração de alimentos","AgriculturaEsalqEscola Superior de Agricultura Luiz de QueirozhortaliçasPiracicabaProdutor RuralPublicações","http://jornal.usp.br/ciencias/ciencias-agrarias/processamento-minimo-de-hortalicas-e-tema-de-publicacao-da-esalq/"
"2017-01-17","Ciências Biológicas","Abelhas removem larvas mortas para reduzir transmissão de doenças na colmeia","Mecanismo de defesa, comportamento higiênico pode ajudar no controle de parasitas e patógenos que atacam esses insetos","AbelhasBiologiaEsalqEscola Superior de Agricultura Luiz de QueirozInsetos","http://jornal.usp.br/ciencias/ciencias-biologicas/abelhas-removem-larvas-mortas-para-reduzir-transmissao-de-doencas-na-colmeia/"
"2017-01-17","Ciências Biológicas","Estudo revela como o cérebro de predadores organiza a caça","Núcleo central da amígdala, antes relacionado ao medo, é responsável pelo comportamento de predação","BiologiaCérebroevoluçãoICBInstituto de Ciências BiomédicasPredador","http://jornal.usp.br/ciencias/ciencias-biologicas/estudo-revela-como-o-cerebro-de-predadores-organiza-a-caca/"
"2017-01-13","Ciências da Saúde","Revista do Hospital Universitário traz relatos de casos de autópsias","O periódico trimestral traz artigos originais relacionados a autópsias","AutópsiaAutopsy and Case ReportsHospital UniversitárioHUMedicina","http://jornal.usp.br/ciencias/ciencias-da-saude/revista-do-hospital-universitario-traz-relatos-de-casos-e-de-autopsias/"
"2017-01-12","Ciências Ambientais","Riqueza mineral da Amazônia pode ter origem em vulcões antigos","Erupções começaram há bilhões de anos, mas suas consequências perduram até hoje","Ciências Exatas e da TerraAmazôniaIGcSão Paulovulcões","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/riqueza-mineral-da-amazonia-pode-ter-origem-em-vulcoes-antigos/"
"2017-01-12","Ciências da Saúde","Revista “Clinics”, da Faculdade de Medicina, lança nova edição","Publicação apresenta artigos sobre diversas especialidades da área de saúde","Faculdade de MedicinaMedicinaRevista ClinicsSaúde","http://jornal.usp.br/ciencias/ciencias-da-saude/revista-clinics-da-faculdade-de-medicina-lanca-nova-edicao/"
"2017-01-12","Tecnologia","Laboratório oferece estrutura para simulações industriais","Plantas-piloto simulam condições reais de produção e geram pesquisas que ajudam a melhorar o funcionamento do processo","Escola PolitécnicaPoliprocessos industriais","http://jornal.usp.br/ciencias/tecnologia/laboratorio-oferece-estrutura-para-simulacoes-industriais/"
"2017-01-12","Ciências da Saúde","Molécula sintética pode inibir patologias em vasos sanguíneos","Peptídeo pode ser um modelo para impedir o desenvolvimento de vasos em alguns tipos de câncer e retinopatia","Instituto de QuímicaIQPatologiaPeptídeo","http://jornal.usp.br/ciencias/ciencias-da-saude/molecula-sintetica-pode-inibir-patologias-em-vasos-sanguineos/"
"2017-01-11","Ciências da Saúde","Bebida com adoçante artificial não é boa estratégia contra obesidade","Produção tem elevado impacto ambiental e não há evidências científicas conclusivas sobre o efeito na redução de peso","Alimentaçãobebidas artificialmente adoçadasFSPNupensObesidadeSão Paulo","http://jornal.usp.br/ciencias/ciencias-da-saude/bebida-com-adocante-artificial-nao-e-boa-estrategia-contra-obesidade/"
"2017-01-10","Ciências Ambientais","Projeto Xingu discute governança para conflitos socioambientais","Projeto irá propor estratégias para adaptar o sistema brasileiro de gerenciamento de recursos hídricos à realidade amazônica","Ciências HumanasAlto XinguCENACentro de Energia Nuclear na AgriculturadireitoEsalqFernanda Viegas ReichardtgovernançaLeis AmbientaisProjeto XINGUSegurança HídricaSociologia","http://jornal.usp.br/ciencias/ciencias-humanas/projeto-xingu-discute-governanca-para-conflitos-socioambientais/"
"2017-01-10","Ciências Agrárias","Boletim sobre economia e ciência animal lança novo número","Publicação eletrônica da Faculdade de Medicina Veterinária e Zootecnia apresenta avanços e debates nas áreas de zootecnia e medicina veterinária","Boletim LAEFaculdade de Medicina Veterinária e ZootecniaLaboratório de Análises Socioeconômicas e Ciência AnimalMedicina veterináriaSocioeconomia & Ciência Animalzootecnia","http://jornal.usp.br/ciencias/ciencias-agrarias/boletim-sobre-economia-e-ciencia-animal-lanca-novo-numero/"
"2017-01-10","Ciências Biológicas","Nome dado a ameba homenageia personagem de “O Senhor dos Anéis”","As primeiras amostras do micro-organismo foram coletadas no Amapá e o no Rio de Janeiro","AmebaArcella gandalfiBiologiaIBInstituto de BiociênciasSenhor dos Anéis","http://jornal.usp.br/ciencias/ciencias-biologicas/nome-dado-a-ameba-homenageia-personagem-de-o-senhor-dos-aneis/"
"2017-01-10","Tecnologia","Equipamento auxilia empresas na classificação de madeiras","Dispositivo foi desenvolvido em pesquisa com apoio do Centro de Ciências Matemáticas Aplicadas à Indústria (CeMEAI)","Carlos de Oliveira AffonsoCeMEAICentro de Ciências Matemáticas Aplicadas à IndústriaICMCMadeiraNeurowoodSão Carlos","http://jornal.usp.br/ciencias/tecnologia/equipamento-auxilia-empresas-na-classificacao-de-madeiras/"
"2017-01-09","Ciências da Saúde","Programa de cuidado com saúde mental auxilia idosos com depressão","Projeto contempla treinamento de equipes de saúde e o desenvolvimento de sistema para ser usado em tablets","depressãoHCFMUSPIdososSão Paulo","http://jornal.usp.br/ciencias/ciencias-da-saude/programa-de-cuidado-com-saude-mental-auxilia-idosos-com-depressao/"
"2017-01-09","Ciências da Saúde","“Journal of Applied Oral Science” publica nova edição","Periódico em inglês editado pela Faculdade de Odontologia de Bauru divulga avanços científicos e tecnológicos na área da odontologia","Faculdade de Odontologia de BauruFOBJournal of Applied Oral ScienceOdontologiaPeriódico","http://jornal.usp.br/ciencias/ciencias-da-saude/journal-of-applied-oral-science-publica-nova-edicao/"
"2017-01-09","Ciências Agrárias","Planta de feijão biofortificada com nanopartículas contém mais ferro","Nos experimentos, folhas, caules e raízes absorveram nanopartículas de magnetita; há potencial para fortificar também os grãos","biofortificaçãoFeijãoFerroIFmagnetitaNanopartículasUniversidad de Granma","http://jornal.usp.br/ciencias/ciencias-agrarias/planta-de-feijao-biofortificada-com-nanoparticulas-contem-mais-ferro/"
